	yes
__BIAS__	4.20167977012283
0	-2.627291285169817
00	-1.993002317590018
000	-4.9312298402814125
0106	-2.381846087627154
068	-0.8843338756860015
072	-0.8359232730781845
073	-0.28151866793463576
1	-2.5927166377186275
10	-2.0104337488858146
100	-1.8415108142755767
1000	-2.8666595601333937
10000	-1.244030532882311
100000	-0.18885214531551808
105	-1.3721114163585595
1050	-0.4914955300354782
106	-0.6857599409871995
109	-0.13744982595163283
10_minutes	0.23056166147241725
11	-2.501059449166347
111	-3.2118724744543994
11440	-1.5488824971768211
117	-0.264779351672405
11_1994	-0.15113059518810062
12	-1.3878581281450895
120	-1.771926412954583
122	-0.14268076505297062
123	-0.3398179191589655
124	-0.855379517579212
125	-0.08955885259832229
126	-0.646665004519223
128	-0.8592070396871051
13	-3.8820260641754762
130	-1.756891386543359
138	-1.2796425105419458
14	-1.9397461951557302
140	-1.1364631278712463
146	-0.6639500880018534
15	-1.8615085974418457
1500	-3.2690549975247998
150000	-3.670101997906058
155	-1.3062196570444804
15_minutes_the	-2.8908542903393983
15th	-0.060325002801875006
16	-1.7390052855612907
160	-1.1498759813259634
167	-0.35962370693683443
169	-2.5282294709652633
170	-0.868153740005937
171	-0.21150596412726533
175	-3.34802015653447
17_1971_i	0.1277859478308883
18	-1.9873156882717435
1850	-0.13755967498450394
1860	-1.2118265966125794
1861	-1.8073913486891175
1878	-0.6546567861373062
1879	-4.421013252117934
1886	-2.55700612459475
1889	-1.0326791005098446
1890	-1.3315876398484408
1891	-0.13290512504786461
1892	-1.0222017465629651
1893	-0.13600934650954433
1894	-0.7660342814443337
19	-3.0187779274047015
1905	-1.730963542356426
1908	-0.9217971561874723
1909	-0.49659027084277596
1910	-1.067824510112692
1911	-0.6048473883090796
1919	-3.4701857218740906
19200	-0.9774348966331909
1921	-0.17156565486396314
1931	-1.2140870473104117
1932	-2.016884514864258
1933	-1.1951454494614655
1938	-4.238149678490914
1951	-0.0034129500564732255
1953	-3.923810400798649
1954	-0.8079989063110491
1955	-0.2202932358758523
1963	-0.7375924212959349
1969	-0.862367921579642
1970	-0.5745067123927167
1971_i_was	0.20153153286852832
1974	-0.30576469837242254
1979	-0.5738215155466758
1980	-0.480568086276304
1981	-0.722402490056592
1994	-0.26415270398094187
1_minute	0.42400328151870076
1minute	0.05245844598068684
1minute_speeches	0.13767804667466502
1minute_speeches_on	0.011291269612411467
1st	-1.0868262268197346
2	-2.0782162568525573
20	-1.927070440063482
200	-1.0339983848985017
